,uuid,center_x,center_y,center_z,direction_x,direction_y,direction_z,end_closed,end_reachable,facet_count,length,radius
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-137.0,154.5,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-136.5,154.0,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-136.0,154.5,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-135.5,154.0,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-135.0,154.5,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-134.5,154.0,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-134.0,154.5,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-133.5,154.0,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-133.0,154.5,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-132.5,154.0,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-132.0,154.5,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-131.5,154.0,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-131.0,154.5,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-130.5,154.0,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-130.0,154.5,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-129.5,154.0,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
67,66b001b1-bdf8-44a1-9c0a-fd87f8b1fb6a,-129.0,154.5,6.4500000477,0.0,0.0,1.0,True,True,124,0.2000002861,0.1999969482
